"","COMPNOS","NatureCode","INCIDENT_TYPE_DESCRIPTION","MAIN_CRIMECODE","REPTDISTRICT","REPORTINGAREA","FROMDATE","WEAPONTYPE","Shooting","DOMESTIC","SHIFT","Year","Month","DAY_WEEK","UCRPART","X","Y","STREETNAME","XSTREETNAME","Location"
"4724",120464145,"BERPTA","RESIDENTIAL BURGLARY","05RB","E18",503,"07/26/2012 07:30:00 AM","Other","No","No","Day",2012,7,"Thursday","Part One",759724.53133361,2928717.15693085,"MT HOPE ST","","(42.28391136, -71.11729954)"
"4725",120463983,"BERPT ","RESIDENTIAL BURGLARY","05RB","A15",900,"06/26/2012 12:00:00 PM","Other","No","No","Day",2012,6,"Tuesday","Part One",774834.60610027,2963206.36912027,"BUNKER HILL ST","","(42.37835134, -71.06080456)"
"4726",120463272,"VANRPT","RESIDENTIAL BURGLARY","05RB","A15",900,"07/25/2012 08:30:00 PM","Other","No","No","First",2012,7,"Wednesday","Part One",775601.1373756,2962845.89904068,"BUNKER HILL ST","","(42.37735134, -71.05797456)"
"4727",120463225,"BEIP  ","RESIDENTIAL BURGLARY","05RB","C11",361,"07/27/2012 09:31:00 AM","Unarmed","No","No","Day",2012,7,"Friday","Part One",773300.18659694,2932003.56210344,"ALLSTON ST","","(42.29275136, -71.06706956)"
"4728",120462384,"BEIP  ","RESIDENTIAL BURGLARY","05RB","E13",648,"07/26/2012 09:00:00 AM","Other","No","No","Day",2012,7,"Thursday","Part One",760782.26117353,2936546.09009185,"BOYNTON ST","","(42.30538136, -71.11325955)"
"4729",120462146,"BERPT ","RESIDENTIAL BURGLARY","05RB","A7",26,"07/26/2012 05:15:00 PM","Unarmed","No","No","First",2012,7,"Thursday","Part One",780655.55607251,2963827.45646077,"MERIDIAN ST","","(42.37997134, -71.03924895)"
"4730",120462101,"BERPT ","RESIDENTIAL BURGLARY","05RB","A1",96,"02/13/2012 01:00:00 PM","Unarmed","No","No","Day",2012,2,"Monday","Part One",777573.20298527,2955784.91775586,"E INDIA ROW","","(42.35794766, -71.05081372)"
"4731",120461852,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",402,"07/26/2012 09:33:00 AM","Other","No","No","Day",2012,7,"Thursday","Part One",772494.90867994,2928583.02202852,"BAILEY ST","","(42.28337636, -71.07010957)"
"4732",120461847,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",800,"07/26/2012 08:45:00 AM","Other","No","No","Day",2012,7,"Thursday","Part One",756090.57731543,2954363.63090026,"LINDEN ST","","(42.35433058, -71.13031795)"
"4733",120461786,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",438,"07/26/2012 05:07:00 PM","Other","No","No","First",2012,7,"Thursday","Part One",770635.38451185,2931133.79711069,"COLONIAL AV","","(42.29040136, -71.07693456)"
"4734",120461607,"BERPT ","RESIDENTIAL BURGLARY","05RB","B2",183,"07/26/2012 01:00:00 PM","Unarmed","No","No","Day",2012,7,"Thursday","Part One",772289.98225252,2942145.86432536,"LEYLAND ST","","(42.32059635, -71.07061455)"
"4735",120461501,"BERPT ","RESIDENTIAL BURGLARY","05RB","D4",157,"07/25/2012 12:00:00 PM","Other","No","No","Day",2012,7,"Wednesday","Part One",770887.15598994,2949870.15235443,"TREMONT ST","","(42.34181135, -71.07565956)"
"4736",120461467,"BERPT ","RESIDENTIAL BURGLARY","05RB","E13",572,"07/26/2012 12:00:00 PM","Unarmed","No","No","Day",2012,7,"Thursday","Part One",764432.63510635,2938886.13692094,"MONTEBELLO RD","","(42.31175637, -71.09972453)"
"4737",120461045,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",256,"07/23/2012 06:00:00 PM","Other","No","No","First",2012,7,"Monday","Part One",779554.46509885,2942087.00420685,"N POINT DR","","(42.32033135, -71.04375457)"
"4738",120461028,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",361,"07/23/2012 08:00:00 AM","Unarmed","No","No","Day",2012,7,"Monday","Part One",773599.98816269,2932450.51035652,"MATHER ST","","(42.29397363, -71.06595309)"
"4739",120460846,"IVPREM","RESIDENTIAL BURGLARY","05RB","D14",813,"07/26/2012 09:15:00 AM","Other","No","No","Day",2012,7,"Thursday","Part One",756691.98359294,2957677.35097885,"STADIUM WY","","(42.36341634, -71.12803954)"
"4740",120460643,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",192,"07/26/2012 07:05:00 AM","Unarmed","No","No","Last",2012,7,"Thursday","Part One",776634.37907552,2945311.32059285,"PREBLE ST","","(42.32922135, -71.05448956)"
"4741",120460062,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",459,"07/25/2012 11:30:00 AM","Other","No","No","Day",2012,7,"Wednesday","Part One",769846.20761252,2935619.59522569,"ERIE ST","","(42.30272135, -71.07976956)"
